,imgloc,latitude,longitude,address,neighborhood,tags,name,artistname,info
158,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5ab9418b575d1f8e3a68f24c/1559749762051/Detroit-Mural-Miss-Van.jpg,42.34179230000001,-83.0394101,"1301 Maple St, Detroit, MI",Lafayette Park,,DETROIT MURAL #0296,Miss Van,2015
159,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5ab9403270a6ad454e5c9ace/1559749782819/Detroit-Mural-Jeff-Soto-Maxx242.JPG,42.3452819,-83.0375103,"1485 Gratiot Ave, Detroit, MI",Lafayette Park,,DETROIT MURAL #0290,Jeff Soto and Maxx242,2015
160,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5ab1c849562fa7620d3167ad/1559749797530/Detroit-Mural-Marlobro-Eastern-Market.jpeg,42.3477222,-83.03810949999999,"1561 Adelaide Street, Detroit, MI",Eastern Market,,DETROIT MURAL #0122,Marlobro,2015
161,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5ab1c8016d2a73b789dbc141/1559749813089/Detroit-Mural-Naturel-Rick-Williams.jpeg,42.3477222,-83.03810949999999,"1561 Adelaide Street, Detroit, MI",Eastern Market,,DETROIT MURAL #0118,Naturel & Rick Williams,2015
162,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5ab1c7db6d2a73b789dbbaf4/1559749832881/Detroit-Mural-Kashink-Eastern-Market.jpg,42.3467118,-83.0388018,"2515 Riopelle Street, Detroit, MI",Eastern Market,,DETROIT MURAL #0116,Kashink,2015
163,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5ab1c774352f53170db396fa/1559749851189/Detroit-Mural-Ron-Zakrin.jpg,42.34640539999999,-83.0379674,"1516 Winder St (In Alley), Detroit, MI",Eastern Market,,DETROIT MURAL #0112,Ron Zakrin,2015
164,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5ab1c797352f53170db39cf7/1559749865430/Detroit-Mural-2501.jpeg,42.346555,-83.03723699999999,"1550 Winder Street, Detroit, MI",Eastern Market,,DETROIT MURAL #0113,2501,2015
165,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5ab90c238a922da0c50f966f/1559749880559/Detroit-Mural-Beau-Stanton-Eastern-Market.jpg,42.3533169,-83.036232,"2126 Pierce St, Detroit, MI",Eastern Market,,DETROIT MURAL #0264,Beau Stanton,2015
166,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5abccb0b1ae6cf7814847796/1559749894664/FullSizeRender-1.jpg,42.349551,-83.03356590000001,"2144 Gratiot Ave., Detroit, MI",Lafayette Park,,DETROIT MURAL #0372,Sintex,2014
167,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5abccaf6aa4a99a0ab81a680/1559749911369/FullSizeRender.jpg,42.349551,-83.03356590000001,"2144 Gratiot Ave., Detroit, MI",Lafayette Park,,DETROIT MURAL #0371,Sintex,2014
168,https://i.imgur.com/mjJSRfI.jpg,42.335615399999995,-83.0497705,"1050 Woodward Avenue, Detroit MI",Downtown Detroit,,0,Kelsey Montague,
169,https://www.wyland.com/media/20110209104734%20.jpg,42.336082399999995,-83.0498275,"1565 Broadway St, Detroit, MI",Downtown Detroit,,1,Wyland,
170,http://patperry.net/cache/images/local/uploads/projects/sw_mural_patperryPanorama2_sa_3193_1000_40.jpg,42.3274354,-83.07929,"2605 Newark Street, Detroit, MI",Hubbard - Richard,,2,Pat Perry,
171,https://www.modeldmedia.com/Images/Features/issue610/1.jpg,42.315590500000006,-83.1139593,"6600 West Vernor Highway, Detroit, MI",Detroit,,3,Bernal Perez,
172,https://www.modeldmedia.com/Images/Features/issue610/2.jpg,42.3122464,-83.12533509999999,"7830 Vernor Hwy, Detroit MI",Springwells Village,,4,Ellen Rutt,
173,https://www.modeldmedia.com/Images/Features/issue610/3.jpg,42.363101,-82.9894527," 9300 Kercheval Ave, Detroit MI",English Village,,5,W.C. Bevan,
174,https://www.modeldmedia.com/Images/Features/issue610/4.jpg,42.3664159,-83.0089296,7900 Mack Ave,Islandview,,6,Ndubisi Okoye,
175,https://www.modeldmedia.com/Images/Features/issue610/7.jpg,42.295235299999995,-83.13323270000001,"9429 W Fort St, Detroit, MI",Carbon Works,,7,Freddy Diaz,
176,https://www.modeldmedia.com/Images/Features/issue610/9.jpg,42.442185200000004,-83.16627779999999,"20194 Mendota St, Detroit, MI ",Eight Mile Wyoming,,8,Various -Designed by Chazz Miller,
177,https://www.modeldmedia.com/Images/Features/issue610/10.jpg,42.429148600000005,-83.26415290000001,"22298 W 7 Mile Rd, Detroit MI",Detroit,,9,HOXXOH,
178,https://www.modeldmedia.com/Images/Features/issue610/6.jpg,42.4167906,-82.9923055,12355 Gratiot Ave,Detroit,,10,Jonny Alexander,
179,https://www.modeldmedia.com/Images/Features/issue610/8.jpg,42.3482662,-83.0883017,4765 14th St,Deerfield Beach,,11,Michael Olszewski ,
