,muralName,artistName,address,year,imgLink
97,DETROIT MURAL #0035,Canvas Voice,Unknown,2017,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5ab1da9d575d1f9478b5de5e/1559747837202/Canvas-Voice-2017-Detroit-Mural-Project.jpg
98,DETROIT MURAL #0214,Greg Mike,"2899 Orleans Street, Detroit, MI",2016,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5ab1cfe50e2e72081e5e00fc/1559747856130/tumblr_oto833Vb1K1w75qkio1_r1_1280.jpg
99,DETROIT MURAL #0226,Sydney G. James,"Cutters Bar & Grill, Detroit, MI",2016,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5ab1c9641ae6cfb57c6a2e98/1559747875455/1521600877248.jpeg
100,DETROIT MURAL #0215,Ellen Rutt and Jesse Kassel,"2934 Russell St, Detroit, MI",2016,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5ab1d0ab2b6a285eb10ed94e/1559748030461/tumblr_otogd5zRrM1w75qkio1_1280.jpg
101,DETROIT MURAL #0192,Apexer,"2903 Saint Aubin Street, Detroit, MI",2016,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5ab1ccd62b6a285eb10e3bf6/1559748050428/tumblr_oto80uqrJt1w75qkio1_1280.jpg
102,DETROIT MURAL #0184,Zak Meers,"1525 Adelaide Street, Detroit, MI",2016,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5ab1c8aa8a922d21ca7f27ed/1559748075328/1521600703475.jpeg
103,DETROIT MURAL #0182,Zak Meers,"2600 Riopelle Street, Detroit, MI",2016,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5ab1c8eb8a922d21ca7f3248/1559748097624/tumblr_oto7w3gB2J1w75qkio1_1280.jpg
104,DETROIT MURAL #0181,Zak Meers,"2600 Riopelle Street, Detroit, MI",2016,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5ab1c8ce758d46f2165dd4d4/1559748113644/tumblr_oto7vvAFcY1w75qkio1_r1_1280.jpg
105,DETROIT MURAL #0180,"MEGGS, Taylor White, & Lauren Ys","1798 Jay St, Detroit, MI",2016,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5ab1c8be03ce647150fcc8b7/1559748152856/FullSizeRender.jpg
106,DETROIT MURAL #0171,HOXXOH,,2016,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5ab1c75303ce647150fc8ae2/1559748170459/1521600348887.jpeg
107,DETROIT MURAL #0170,Shades,"1548 E Fisher Service Dr, Detroit, MI",2016,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5ab1c53eaa4a996aad76b800/1559748195155/1521599819242.jpeg
108,DETROIT MURAL #0163,Tony Rave,"2638 Orleans Street, Detroit, MI",2016,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5ab1c9b60e2e72081e5d0066/1559748219680/1521600955032.jpeg
109,DETROIT MURAL #0161,Tylonn Sawyer,"2638 Orleans, Detroit, MI",2016,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5ab1c983575d1f9478b33785/1559748235474/1521600907725.jpeg
110,DETROIT MURAL #0154,Apexer,"1544 Gratiot Ave, Detroit, MI",2016,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5ab1ca910e2e72081e5d25f1/1559748252269/tumblr_oto8alDrbx1w75qkio1_1280.jpg
111,DETROIT MURAL #0152,Slick,"1544 Gratiot Ave, Detroit, MI",2016,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5ab1caa51ae6cfb57c6a65cd/1559748268869/tumblr_oto8baE2jJ1w75qkio1_1280.jpg
112,DETROIT MURAL #0148,Joseph Konert,"2611 Russell Street, Detroit, MI",2016,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5ab1cbc90e2e72081e5d5a6b/1559748285508/tumblr_oto8r9pvAj1w75qkio1_r1_1280.jpg
113,DETROIT MURAL #0144,Ben Saginaw,"2739 Russell Street, Detroit, MI",2016,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5ab1cd96758d46f2165e9b61/1559748301783/tumblr_oto82fQGi31w75qkio1_r1_1280.jpg
114,DETROIT MURAL #0138,Shaina Kasztelan & Heidi Barlow,"1353 Division Street, Detroit, MI",2016,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5ab1cf431ae6cfb57c6b251f/1559748318117/tumblr_oto88moeVa1w75qkio1_1280.jpg
115,DETROIT MURAL #0115,Ghost Beard and Patch Whisky,"1489 Winder Street, Detroit, MI",2016,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5ab1c7cbf950b76484f6eee0/1559748334681/1521600468853.jpeg
116,DETROIT MURAL #0114,Felipe Pantone,"2478 Riopelle Street, Detroit, MI",2016,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5ab1c7b7352f53170db3a31a/1559748350631/1521600451202.jpeg
117,DETROIT MURAL #0109,Hebru Brantley,"2418 Orleans Street, Detroit, MI",2016,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5ab1c741575d1f9478b2d620/1559748368253/1521600332142.jpeg
118,DETROIT MURAL #0162,Mr. Jago & Xenx,"1801 Division Street, Detroit, MI",2016,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5ab1c9751ae6cfb57c6a313d/1559748386953/1521600893611.jpeg
119,DETROIT MURAL #0227,Slick,"2000 Division Street, Detroit, MI",2016,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5ab1ca3003ce647150fd0739/1559748407508/Slick-2016-Detroit-Mural-Project.jpg
120,DETROIT MURAL #0155,Ghost Beard and Patch Whisky,"1544 Gratiot Ave, Detroit, MI",2016,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5ab1ca86575d1f9478b3649c/1559748583673/Ghost-Beard-Patch-Whisky-2016-Detroit-Mural-Project.jpg
121,DETROIT MURAL #0153,Hueman,"2099 Rivard Street, Detroit, MI",2016,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5ab1ca9c88251b292be99993/1559748601445/Hueman-2016-Detroit-Mural-Project.jpg
122,DETROIT MURAL #0149,Cey Adams,"1548 E Fisher Service Dr, Detroit, MI",2016,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5ab1cbb988251b292be9c8f5/1559748614623/Detroit-Mural-Project-2016-Cey-Adams.jpg
123,DETROIT MURAL #0143,Pat Perry,,2016,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5ab1cdc588251b292bea1a9e/1559748641526/Detroit-Mural-Project-2016-Pat-Perry.jpg
124,DETROIT MURAL #0139,Sheefy McFly,"2719 Russell Street, Detroit, MI",2016,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5ab1cf2a758d46f2165ede96/1559748656824/Detroit-Mural-Project-2016-Sheefy-McFly.jpg
125,DETROIT MURAL #0140,Clifton Perry,"1500 Alfred Street, Detroit, MI",2016,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5ab1cf0e352f53170db4d1bc/1559748671827/Detroit-Mural-Project-2016-Clifton-Perry.jpg
126,DETROIT MURAL #0137,Olayami Dabls,"1950 Wilkins Street, Detroit, MI",2016,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5ab1cfb66d2a73b789dcfe53/1559748690354/Detroit-Mural-Project-2016-Dabls.jpg
127,DETROIT MURAL #0295,Apexer,"1841 Gratiot Avenue, Detroit, MI",2016,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5ab94175aa4a9968418e4983/1559748712481/Detroit-Mural-Project-2016-Apexer.jpg
128,DETROIT MURAL #0293,Kirstin Farr,"2011 Russell St, Detroit, MI",2016,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5ab941128a922d97f510b42b/1559748730070/Detroit-Mural-Project-2016-Kirstin-Farr.jpg
129,DETROIT MURAL #0292,Pixel Pancho,"2105 Russell St, Detroit, MI",2016,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5ab940fa1ae6cf23575e5ce6/1559748747717/Detroit-Mural-Project-2016-Pixel-Pancho.jpg
130,DETROIT MURAL #0291,Marka27,"1485 Gratiot Ave, Detroit, MI",2016,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5ab940480e2e72d3f74bc63e/1559748771253/Detroit-Mural-Project-2016-Marka27.JPG
131,DETROIT MURAL #0289,Kevin Lyons,"2008 Gratiot Avenue, Detroit, MI",2016,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5ab9401bf950b714572ca551/1559748790037/Detroit-Mural-Project-2016-Kevin-Lyons.jpg
132,DETROIT MURAL #0267,1010,"3555 Orleans St, Detroit, MI",2016,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5ab90c9f70a6ad8579a01a5b/1559748807368/Detroit-Mural-Project-2016-1010.jpg
133,DETROIT MURAL #0265,Chris Saunders,"3500 Orleans St, Detroit, MI",2016,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5ab90c5b88251b9c24272dd8/1559748825357/Detroit-Mural-Project-2016-Chris-Saunders.jpg
134,DETROIT MURAL #0259,Taylor White & Dalek,"2625 St Aubin St, Detroit, MI",2016,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5ab90b62562fa76d37247bf6/1559748839031/Detroit-Mural-Project-Year-Taylor-White-Dalek.JPG
135,DETROIT MURAL #0355,Lauren Harrington,"1799 Antietam Ave, Detroit, MI",2016,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5abcc89070a6ad9323455ee5/1559748857179/Detroit-Mural-Project-Lauren-Harrington-2016.jpg
136,DETROIT MURAL #0406,WC Bevan,"2469 E Fisher Service Dr, Detroit, MI",2015,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5ac3a89f0e2e722bb743e21f/1559748872436/Detroit-Mural-Project-WC-Bevan-2015.jpg
137,DETROIT MURAL #0151,Sintex,"2000 Division St, Detroit, MI",2016,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5ab1cab7575d1f9478b36c2f/1559748896317/Sintex-Danny-Brown-Detroit-Mural.jpg
138,DETROIT MURAL #0580,Nic Notion,"1352 Gratiot Avenue, Detroit, MI",2016,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5ae8576c352f5343172e2e36/1559748918751/FullSizeRender.jpg
139,DETROIT MURAL #0229,Hygienic Dress League,"1543 Gratiot Ave, Detroit, MI",2015,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5ab1c85d70a6ad5d2736a529/1559748932575/tumblr_oto7uhpjIH1w75qkio1_r1_1280.jpg
140,DETROIT MURAL #0294,,"1550 Gratiot Avenue, Detroit, MI",2015,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5ab941536d2a7301d3c983a7/1559749168712/FullSizeRender.jpg
141,DETROIT MURAL #0287,MEGGS,"2934 Russell Street, Detroit, MI",2015,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5ab93fc7758d46cb551df8b9/1559749191259/FullSizeRender-1.jpg
142,DETROIT MURAL #0288,Persue and Kwest,"2145 Hendricks St, Detroit, MI",2015,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5ab9400170a6ad454e5c8e32/1559749211151/FullSizeRender-2.jpg
143,DETROIT MURAL #0187,Eugene Carland,"2712 Riopelle Street, Detroit, MI",2015,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5ab1c8ff562fa7620d3186c0/1559749223942/1521600781176.jpeg
144,DETROIT MURAL #0179,Sydney G. James,"1561 Adelaide Street, Detroit, MI",2015,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5ab1c884562fa7620d3172da/1559749242843/tumblr_oto7v3TYBE1w75qkio1_1280.jpg
145,DETROIT MURAL #0169,Hebru Brantley,"1349 Adelaide St, Detroit, MI",2015,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5ab1c51288251b292be8a9ac/1559749278505/tumblr_orabiln11N1w75qkio1_1280.jpg
146,DETROIT MURAL #0160,Kashink,"1948 Division Street, Detroit, MI",2015,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5ab1ca1488251b292be981e3/1559749293776/tumblr_oto7zd49yw1w75qkio1_r1_1280.jpg
147,DETROIT MURAL #0158,"Yok & Sheryo, Daek, and Fecks","1936 Division Street, Detroit, MI",2015,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5ab1ca02352f53170db40307/1559749308607/1521601035566.jpeg
148,DETROIT MURAL #0145,Fel3000ft,"2611 Russell Street, Detroit, MI",2015,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5ab1cd5c88251b292bea0a1d/1559749326972/tumblr_oto81q2Rs21w75qkio1_r1_1280.jpg
149,DETROIT MURAL #0121,"Ghost Beard, Patch Whisky","1561 Adelaide Street, Detroit, MI",2015,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5ab1c83403ce647150fcb021/1559749343502/1521600575784.jpeg
150,DETROIT MURAL #0111,Luke Chueh,"1516 Winder St (In Alley), Detroit, MI",2015,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5ab1c78403ce647150fc932a/1559749370181/1521600400285.jpeg
151,DETROIT MURAL #0097,"Monica Canilao, Pat Perry, Ben Wolf, Nick Mann, Ouizi","Near 2099 Rivard Street (in Alley), Detroit, MI",2015,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5ab1d35a562fa7620d33327d/1559749382705/tumblr_oukp0sW7wW1w75qkio1_1280.jpg
152,DETROIT MURAL #0178,Michelle Tanguay,"1561 Adelaide Street, Detroit, MI",2015,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5ab1c875575d1f9478b30a68/1559749100069/1521600636302.jpeg
153,DETROIT MURAL #0228,Taylor White,"2740 Orleans Street, Detroit, MI",2015,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5ab1c94d1ae6cfb57c6a2aca/1559749427249/Detroit-Mural-Project-Taylor-White-2015-ViranelClerard.jpg
154,DETROIT MURAL #0223,Jesse Kassel,N/A,2015,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5ab1d1a71ae6cfb57c6b8296/1559749441068/Detroit-Mural-Project-Jesse-Kassel-2015-ViranelClerard.jpg
155,DETROIT MURAL #0213,Nosego & WOES,"2336 Russell Street, Detroit, MI",2015,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5ab1cfa188251b292bea6724/1559749460076/Detroit-Mural-Noesgo-Woes.jpg
156,DETROIT MURAL #0212,Jonny Alexander,"2611 Russell Street, Detroit, MI",2015,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5ab1cf7203ce647150fde1bc/1559749472581/Detroit-Mural-Jonny-Alexander-Covered.jpg
157,DETROIT MURAL #0191,WOES & Luke Chueh,"1421 Gratiot Avenue, Detroit, MI",2015,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5ab1cde9352f53170db4a1cc/1559749491642/Detroit-Mural-Woes-Luke-Chueh.jpg
158,DETROIT MURAL #0188,Miss Van,"1501 Division Street, Detroit, MI",2015,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5ab1c9276d2a73b789dbf3be/1559749506267/Detroit-Mural-Miss-Van-2015.jpeg
159,DETROIT MURAL #0159,Ouizi,"1816 Division Street, Detroit, MI",2015,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5ab1c9c2aa4a996aad7779fa/1559749526592/Detroit-Mural-Ouizi-2015.jpg
160,DETROIT MURAL #0156,SharkToof,"1906 Division Street, Detroit, MI",2015,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5ab1c9f42b6a285eb10dc302/1559750064114/Detroit-Mural-Sharktoof-2015.jpg
161,DETROIT MURAL #0157,Askew & Hannah Stouffer,"1825 Division Street, Detroit, MI",2015,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5ab1c9db562fa7620d31acc0/1559749698813/Detroit-Mural-Ashew-Hannah-Stouffer.jpeg
162,DETROIT MURAL #0150,Rone,"1550 Gratiot Avenue, Detroit, MI",2015,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5ab1cac22b6a285eb10de66f/1559749715802/Detroit-Mural-Rone-West.jpg
163,DETROIT MURAL #0123,Jarus,"2157 Hendricks Street, Detroit, MI",2015,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5ab1d266562fa7620d330d40/1559749731545/Detroit-Mural-Jarus.jpg
164,DETROIT MURAL #0124,Zak Meers,"2598 Dubois Street, Detroit, MI",2015,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5ab1d250575d1f9478b49ed9/1559749746668/Detroit-Mural-Zak-Meers.jpg
165,DETROIT MURAL #0296,Miss Van,"1301 Maple St, Detroit, MI",2015,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5ab9418b575d1f8e3a68f24c/1559749762051/Detroit-Mural-Miss-Van.jpg
166,DETROIT MURAL #0290,Jeff Soto and Maxx242,"1485 Gratiot Ave, Detroit, MI",2015,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5ab9403270a6ad454e5c9ace/1559749782819/Detroit-Mural-Jeff-Soto-Maxx242.JPG
167,DETROIT MURAL #0122,Marlobro,"1561 Adelaide Street, Detroit, MI",2015,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5ab1c849562fa7620d3167ad/1559749797530/Detroit-Mural-Marlobro-Eastern-Market.jpeg
168,DETROIT MURAL #0118,Naturel & Rick Williams,"1561 Adelaide Street, Detroit, MI",2015,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5ab1c8016d2a73b789dbc141/1559749813089/Detroit-Mural-Naturel-Rick-Williams.jpeg
169,DETROIT MURAL #0116,Kashink,"2515 Riopelle Street, Detroit, MI",2015,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5ab1c7db6d2a73b789dbbaf4/1559749832881/Detroit-Mural-Kashink-Eastern-Market.jpg
170,DETROIT MURAL #0112,Ron Zakrin,"1516 Winder St (In Alley), Detroit, MI",2015,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5ab1c774352f53170db396fa/1559749851189/Detroit-Mural-Ron-Zakrin.jpg
